gene	young_leaf	flower	one_cm_pod	pod_shell_10DAF	pod_shell_14DAF	seed_10DAF	seed_14DAF	seed_21DAF	seed_25DAF	seed_28DAF	seed_35DAF	seed_42DAF	root	nodule
Glyma01g01340	3	5	3	3	4	0	2	1	1	1	1	1	2	1
Glyma01g01350	5	2	3	3	2	1	2	2	1	0	1	0	2	2
Glyma01g01360	2	1	1	1	2	1	2	2	1	1	1	0	5	9
Glyma01g01370	94	21	30	41	42	2	3	6	7	5	4	3	0	0
Glyma01g01380	18	11	16	24	25	10	12	4	6	4	5	2	20	4
Glyma01g01390	16	11	18	14	6	4	9	8	18	7	13	8	12	16
Glyma01g01400	1	4	1	2	5	2	2	1	2	1	1	1	1	2
Glyma01g01410	96	31	41	46	26	14	38	37	29	21	32	14	21	17
Glyma01g01420	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Glyma01g01430	2	3	2	2	2	0	1	2	1	0	1	0	2	1
Glyma01g01440	5	4	3	4	4	2	2	1	3	3	6	7	13	8
Glyma01g01450	5	25	7	7	5	1	2	2	1	1	0	0	9	0
Glyma01g01460	10	11	10	12	8	4	8	7	5	3	5	3	13	10
